Rank,Feature,Importance
1,Orbit_50_max,0.016316398637284187
2,Orbit_53_sum,0.015794080402788888
3,Orbit_14_min,0.01487184607189939
4,Orbit_59_max,0.013220288862934899
5,Orbit_117_std,0.012403597140381905
6,Orbit_104_mean,0.011787115677210091
7,Orbit_115_max,0.011428837090559332
8,Orbit_104_sum,0.011037319013841343
9,Orbit_51_mean,0.010983281036072481
10,Orbit_120_mean,0.01083004052865835
11,Orbit_40_mean,0.010545990797326403
12,Orbit_53_std,0.010543362879216363
13,Orbit_105_mean,0.010499195764874025
14,Orbit_2_sum,0.010474020016395845
15,Orbit_28_mean,0.010426908977062612
16,Orbit_109_min,0.009947372736736857
17,Orbit_104_min,0.009760749076506378
18,Orbit_28_max,0.009459228243077936
19,Orbit_33_sum,0.009340456888185904
20,Orbit_103_max,0.00925234805659245
21,Orbit_38_std,0.009230207997637723
22,Orbit_54_sum,0.008713179486708566
23,Orbit_34_std,0.008517696614808837
24,Orbit_53_mean,0.008454124362302019
25,Orbit_51_std,0.00842026014268239
26,Orbit_39_min,0.007769577550151626
27,Orbit_107_min,0.007665198077011549
28,Orbit_34_sum,0.00755508502733735
29,Orbit_31_min,0.007381053879682865
30,Orbit_110_sum,0.007356767492570776
31,Orbit_14_max,0.0072881523354325845
32,Orbit_5_sum,0.006938224439813763
33,Orbit_120_sum,0.006856334415615067
34,Orbit_14_std,0.006842447069053429
35,Orbit_26_sum,0.006681851187492944
36,Orbit_2_max,0.006674864117494313
37,Orbit_5_min,0.006633165779441485
38,Orbit_27_max,0.006563045162470857
39,Orbit_8_max,0.006495402499976088
40,Orbit_30_std,0.00643367534000967
41,Orbit_2_std,0.006175644193271198
42,Orbit_28_std,0.0060675163494882806
43,Orbit_106_sum,0.005890384219163586
44,Orbit_59_min,0.0058090792744515335
45,Orbit_27_min,0.0056818500066793155
46,Orbit_53_min,0.005676751568783648
47,Orbit_102_sum,0.005666221422885363
48,Orbit_43_max,0.005641947049243001
49,Orbit_60_mean,0.005619296103895167
50,Orbit_26_min,0.005524802551975304
