Feature,Importance (Mean),Std
Orbit_9_std,0.016767796967379046,0.0
Orbit_51_std,0.01347784458886619,0.0
Orbit_9_mean,0.013130057053910984,0.0
Orbit_117_std,0.012764695345231765,0.0
Orbit_59_min,0.012576936658898244,0.0
Orbit_8_max,0.012522581848237728,0.0
Orbit_110_sum,0.012329267051273761,0.0
Orbit_115_max,0.011554755200553385,0.0
Orbit_30_std,0.011306673888637122,0.0
Orbit_34_min,0.01129421470794189,0.0
Orbit_59_max,0.011085621695049041,0.0
Orbit_28_std,0.010684114649599048,0.0
Orbit_33_sum,0.010501443182606828,0.0
Orbit_103_min,0.009906242891917634,0.0
Orbit_116_std,0.009732372219541562,0.0
Orbit_2_std,0.00962656851368026,0.0
Orbit_40_mean,0.009528179499055031,0.0
Orbit_14_min,0.00900799496999324,0.0
Orbit_31_mean,0.008913936435729053,0.0
Orbit_2_sum,0.008800196854089474,0.0
Orbit_39_max,0.008717258026998954,0.0
Orbit_27_max,0.00861033867148373,0.0
Orbit_110_max,0.008572011803064076,0.0
Orbit_54_mean,0.008550834386620264,0.0
Orbit_50_max,0.0080762617763508,0.0
Orbit_107_std,0.007926515348299431,0.0
Orbit_39_min,0.00732039501182941,0.0
Orbit_56_sum,0.007270046866686872,0.0
Orbit_105_mean,0.007173445575397072,0.0
Orbit_30_min,0.006871631121197368,0.0
Orbit_28_mean,0.006813243345630445,0.0
Orbit_28_max,0.006600675451530325,0.0
Orbit_109_min,0.006496341988164326,0.0
Orbit_34_std,0.006426130458192087,0.0
Orbit_102_max,0.006354173534990982,0.0
Orbit_30_sum,0.0063202705159139776,0.0
Orbit_60_mean,0.006161678264427289,0.0
Orbit_34_sum,0.006148082594872369,0.0
Orbit_38_std,0.006139922438501449,0.0
Orbit_14_sum,0.006090756576440582,0.0
Orbit_54_sum,0.005988998267659623,0.0
Orbit_43_max,0.005949415260385729,0.0
Orbit_2_max,0.005945429612028759,0.0
Orbit_14_std,0.005839027073410823,0.0
Orbit_120_mean,0.0058215801812035095,0.0
Orbit_41_mean,0.0057803758077525184,0.0
Orbit_104_sum,0.0057573727661411655,0.0
Orbit_19_sum,0.00566817780988964,0.0
Orbit_8_min,0.0056656036943360825,0.0
Orbit_30_max,0.005633364381689494,0.0
