Rank,Feature,Importance
1,GCM_42,0.011253822976030257
2,GCM_16,0.008803950977389657
3,GCM_90,0.008395319681824144
4,GCM_306,0.00659283397493273
5,GCM_13,0.006370201072552786
6,GCM_59,0.00602819915831647
7,GCM_897,0.005836486080683771
8,GCM_189,0.005704910480821565
9,GCM_118,0.005652425830818977
10,GCM_109,0.005606207949914145
11,GCM_25,0.00558166039111976
12,GCM_753,0.005354157140632981
13,GCM_831,0.00532425976483829
14,GCM_37,0.005303238809101512
15,GCM_889,0.005079369061656917
16,GCM_496,0.004730330421380343
17,GCM_662,0.004459472016611156
18,GCM_3826,0.004221616125591033
19,GCM_336,0.004216845746418671
20,GCM_668,0.00417677241480711
21,GCM_62,0.00405993047482096
22,GCM_159,0.004001906604481806
23,GCM_43,0.003987969705966467
24,GCM_4266,0.0039776413398365665
25,GCM_1658,0.003921088887271381
26,GCM_228,0.0038771065605293516
27,GCM_120,0.0037729816855705295
28,GCM_382,0.0035451763971807233
29,GCM_905,0.003539050601998548
30,GCM_1511,0.003485747600526198
31,GCM_117,0.0034505730208147256
32,GCM_124,0.003434277877246907
33,GCM_28,0.0034259397660982406
34,GCM_4048,0.0033890870568851735
35,GCM_217,0.003292338501019378
36,GCM_7,0.0032779910617400224
37,GCM_1565,0.003202106890293066
38,GCM_83,0.003165711271853258
39,GCM_202,0.003125716104042593
40,GCM_716,0.0031154188220524803
41,GCM_504,0.0031019483205015526
42,GCM_941,0.0030941341620007905
43,GCM_932,0.0030899781728762634
44,GCM_68,0.0030516306639659474
45,GCM_211,0.003048556909418734
46,GCM_130,0.0030331864129891782
47,GCM_135,0.002993037667674721
48,GCM_191,0.002964611698379669
49,GCM_857,0.002943413297022558
50,GCM_2422,0.0029360981103972806
