Rank,Pattern,Count,Percentage,Sample Indices
1,benign/benign → addisplay/kuguo,33,15.87%,"2003, 2089, 2102, 2103, 2163, 2172, 2248, 2272, 2288, 2300"
2,adware/airpush → benign/benign,30,14.42%,"1002, 1037, 1097, 1126, 1132, 1157, 1276, 1303, 1395, 1443"
3,benign/benign → adware/airpush,29,13.94%,"2015, 2030, 2054, 2067, 2079, 2099, 2132, 2141, 2162, 2188"
4,trojan/artemis → benign/benign,28,13.46%,"4039, 4079, 4090, 4107, 4155, 4174, 4246, 4253, 4259, 4324"
5,addisplay/kuguo → benign/benign,26,12.50%,"39, 76, 79, 82, 98, 161, 242, 247, 287, 300"
6,trojan/artemis → downloader/jiagu,22,10.58%,"4000, 4017, 4022, 4075, 4102, 4119, 4128, 4149, 4218, 4229"
7,trojan/artemis → addisplay/kuguo,18,8.65%,"4010, 4091, 4094, 4157, 4282, 4308, 4311, 4345, 4431, 4435"
8,trojan/artemis → adware/airpush,12,5.77%,"4011, 4016, 4051, 4096, 4103, 4186, 4239, 4374, 4450, 4804"
9,addisplay/kuguo → adware/airpush,4,1.92%,"81, 86, 145, 384"
10,downloader/jiagu → trojan/artemis,3,1.44%,"3060, 3537, 3890"
11,adware/airpush → trojan/artemis,1,0.48%,1629
12,benign/benign → trojan/artemis,1,0.48%,2176
13,benign/benign → downloader/jiagu,1,0.48%,2730
