Rank,Pattern,Count,Percentage,Sample Indices
1,benign/benign → addisplay/kuguo,22,23.66%,"4, 53, 89, 122, 270, 280, 313, 314, 340, 359"
2,addisplay/kuguo → benign/benign,16,17.20%,"31, 62, 86, 176, 248, 273, 285, 336, 351, 366"
3,trojan/artemis → benign/benign,13,13.98%,"21, 141, 155, 156, 196, 256, 477, 535, 548, 558"
4,adware/airpush → benign/benign,13,13.98%,"55, 66, 94, 150, 224, 275, 345, 408, 411, 418"
5,benign/benign → trojan/artemis,6,6.45%,"11, 41, 190, 466, 485, 612"
6,benign/benign → adware/airpush,6,6.45%,"20, 399, 465, 470, 577, 714"
7,trojan/artemis → downloader/jiagu,6,6.45%,"147, 306, 312, 571, 605, 731"
8,trojan/artemis → adware/airpush,5,5.38%,"16, 305, 449, 542, 582"
9,trojan/artemis → addisplay/kuguo,4,4.30%,"32, 68, 620, 720"
10,addisplay/kuguo → trojan/artemis,1,1.08%,60
11,addisplay/kuguo → adware/airpush,1,1.08%,149
