Rank,Pattern,Count,Percentage,Sample Indices
1,benign/benign → addisplay/kuguo,210,21.36%,"2003, 2024, 2025, 2026, 2037, 2045, 2053, 2057, 2059, 2063"
2,addisplay/kuguo → benign/benign,142,14.45%,"2, 12, 14, 16, 22, 23, 25, 39, 40, 54"
3,benign/benign → trojan/artemis,138,14.04%,"2001, 2005, 2031, 2033, 2034, 2038, 2041, 2046, 2047, 2049"
4,adware/airpush → benign/benign,97,9.87%,"1002, 1029, 1032, 1037, 1044, 1065, 1074, 1097, 1108, 1123"
5,addisplay/kuguo → trojan/artemis,92,9.36%,"10, 50, 65, 73, 93, 96, 100, 113, 120, 139"
6,trojan/artemis → benign/benign,74,7.53%,"4018, 4030, 4039, 4056, 4079, 4107, 4117, 4121, 4155, 4157"
7,trojan/artemis → addisplay/kuguo,64,6.51%,"4010, 4066, 4068, 4084, 4090, 4091, 4094, 4126, 4146, 4177"
8,trojan/artemis → downloader/jiagu,59,6.00%,"4000, 4017, 4022, 4028, 4031, 4053, 4072, 4075, 4097, 4102"
9,benign/benign → adware/airpush,40,4.07%,"2000, 2006, 2021, 2054, 2056, 2067, 2094, 2110, 2133, 2162"
10,trojan/artemis → adware/airpush,35,3.56%,"4003, 4011, 4016, 4051, 4058, 4096, 4152, 4238, 4239, 4305"
11,addisplay/kuguo → adware/airpush,15,1.53%,"81, 86, 95, 251, 304, 313, 343, 384, 441, 543"
12,adware/airpush → trojan/artemis,6,0.61%,"1045, 1373, 1401, 1468, 1586, 1682"
13,benign/benign → downloader/jiagu,6,0.61%,"2557, 2572, 2697, 2730, 2966, 2974"
14,adware/airpush → addisplay/kuguo,4,0.41%,"1126, 1185, 1276, 1992"
15,downloader/jiagu → trojan/artemis,1,0.10%,3890
