Rank,Pattern,Count,Percentage,Sample Indices
1,benign/benign → addisplay/kuguo,39,23.78%,"24, 50, 83, 99, 109, 150, 256, 280, 285, 320"
2,addisplay/kuguo → benign/benign,28,17.07%,"30, 32, 85, 126, 137, 182, 206, 226, 284, 327"
3,trojan/artemis → benign/benign,28,17.07%,"90, 101, 116, 175, 251, 260, 295, 319, 337, 427"
4,adware/airpush → benign/benign,23,14.02%,"93, 276, 277, 347, 353, 380, 404, 463, 645, 646"
5,trojan/artemis → addisplay/kuguo,14,8.54%,"39, 155, 205, 417, 544, 566, 618, 655, 658, 664"
6,benign/benign → adware/airpush,13,7.93%,"44, 135, 177, 204, 470, 519, 529, 606, 717, 746"
7,trojan/artemis → adware/airpush,6,3.66%,"168, 386, 487, 733, 923, 956"
8,trojan/artemis → downloader/jiagu,5,3.05%,"311, 552, 627, 789, 801"
9,adware/airpush → addisplay/kuguo,2,1.22%,"258, 490"
10,adware/airpush → trojan/artemis,2,1.22%,"376, 904"
11,addisplay/kuguo → adware/airpush,2,1.22%,"456, 550"
12,benign/benign → trojan/artemis,1,0.61%,510
13,addisplay/kuguo → trojan/artemis,1,0.61%,604
